stimuli_1,block1_resp.keys,correct_resp1,block1_resp.corr,block1_resp.rt,stimuli_2,block2_resp.keys,correct_resp2,block2_resp.corr,block2_resp.rt,stimuli_4,correct_resp4,block4_resp.keys,block4_resp.corr,block4_resp.rt,stimuli_5_reversed,block5_resp.keys,correct_resp5,block5_resp.corr,block5_resp.rt
L_b.bmp,None,None,1.0,,L_n.bmp,None,None,1.0,,L_m.bmp,None,None,1.0,,L_d.bmp,None,None,1,
L_k.bmp,None,None,1.0,,L_q.bmp,None,None,1.0,,L_b.bmp,None,None,1.0,,L_b.bmp,None,None,1,
L_s.bmp,None,n,0.0,,L_f.bmp,None,None,1.0,,L_s.bmp,n,n,1.0,0.6983825999777764,L_g.bmp,None,None,1,
L_g.bmp,n,None,0.0,0.0057662000181153,L_r.bmp,None,n,0.0,,L_b.bmp,None,None,1.0,,L_j.bmp,None,None,1,
L_j.bmp,None,None,1.0,,L_p.bmp,None,None,1.0,,L_d.bmp,None,None,1.0,,L_s.bmp,n,n,1,0.6270282999612391
L_b.bmp,None,None,1.0,,L_k.bmp,None,None,1.0,,L_v.bmp,None,None,1.0,,L_l.bmp,None,None,1,
L_r.bmp,None,n,0.0,,L_m.bmp,None,None,1.0,,L_b.bmp,None,None,1.0,,L_v.bmp,None,None,1,
L_j.bmp,n,None,0.0,0.4841236999491229,L_f.bmp,None,None,1.0,,L_n.bmp,None,None,1.0,,L_r.bmp,None,n,0,
L_b.bmp,None,None,1.0,,L_k.bmp,None,None,1.0,,L_c.bmp,None,None,1.0,,L_q.bmp,n,None,0,0.5099198999814689
L_n.bmp,None,None,1.0,,L_s.bmp,n,n,1.0,0.596096400055103,L_p.bmp,None,None,1.0,,L_m.bmp,None,None,1,
L_l.bmp,n,None,0.0,0.021344400011003,L_w.bmp,None,None,1.0,,L_f.bmp,None,None,1.0,,L_b.bmp,None,None,1,
L_j.bmp,None,None,1.0,,L_j.bmp,None,None,1.0,,L_p.bmp,None,None,1.0,,L_h.bmp,None,None,1,
L_h.bmp,None,None,1.0,,L_p.bmp,None,None,1.0,,L_t.bmp,n,n,1.0,0.6210170000558719,L_m.bmp,None,None,1,
L_r.bmp,None,n,0.0,,L_g.bmp,None,None,1.0,,L_q.bmp,None,None,1.0,,L_r.bmp,None,None,1,
L_q.bmp,None,None,1.0,,L_q.bmp,None,None,1.0,,L_p.bmp,None,None,1.0,,L_f.bmp,None,None,1,
L_b.bmp,None,None,1.0,,L_w.bmp,None,None,1.0,,L_m.bmp,None,None,1.0,,L_q.bmp,None,None,1,
L_g.bmp,None,None,1.0,,L_s.bmp,n,None,0.0,0.6629668999230489,L_s.bmp,n,n,1.0,0.5718194999499246,L_t.bmp,n,n,1,0.6896317000500858
L_r.bmp,None,n,0.0,,L_f.bmp,None,None,1.0,,L_h.bmp,None,None,1.0,,L_p.bmp,None,None,1,
L_f.bmp,n,None,0.0,0.640006999950856,L_m.bmp,None,None,1.0,,L_b.bmp,None,None,1.0,,L_f.bmp,None,None,1,
L_g.bmp,None,None,1.0,,L_j.bmp,None,None,1.0,,L_m.bmp,None,None,1.0,,L_p.bmp,None,None,1,
L_v.bmp,None,None,1.0,,L_k.bmp,None,None,1.0,,L_s.bmp,n,n,1.0,0.678970200009644,L_c.bmp,None,None,1,
L_f.bmp,None,None,1.0,,L_r.bmp,None,n,0.0,,L_q.bmp,None,None,1.0,,L_n.bmp,None,None,1,
L_g.bmp,None,None,1.0,,L_k.bmp,n,None,0.0,0.2302420000778511,L_v.bmp,None,None,1.0,,L_b.bmp,None,None,1,
L_h.bmp,None,None,1.0,,L_f.bmp,None,None,1.0,,L_l.bmp,None,None,1.0,,L_v.bmp,None,None,1,
L_b.bmp,None,None,1.0,,L_l.bmp,None,None,1.0,,L_s.bmp,n,None,0.0,,L_d.bmp,None,None,1,
L_v.bmp,None,None,1.0,,L_s.bmp,None,n,0.0,,L_j.bmp,None,n,0.0,0.1790996000636369,L_s.bmp,None,n,0,
L_c.bmp,None,None,1.0,,L_n.bmp,n,None,0.0,0.0664028000319376,L_g.bmp,None,None,1.0,,L_b.bmp,n,None,0,0.044478700030595
L_l.bmp,None,None,1.0,,L_d.bmp,None,None,1.0,,L_f.bmp,None,None,1.0,,L_q.bmp,None,None,1,
L_m.bmp,None,None,1.0,,L_r.bmp,None,n,0.0,,L_t.bmp,n,n,1.0,0.6034139000112191,L_d.bmp,None,None,1,
L_n.bmp,None,None,1.0,,L_v.bmp,n,None,0.0,0.4081366000464186,L_d.bmp,None,None,1.0,,L_v.bmp,None,None,1,
L_p.bmp,None,None,1.0,,L_f.bmp,None,None,1.0,,L_c.bmp,None,None,1.0,,L_b.bmp,None,None,1,
L_v.bmp,None,None,1.0,,L_w.bmp,None,None,1.0,,L_n.bmp,None,None,1.0,,L_s.bmp,None,None,1,
L_p.bmp,None,None,1.0,,L_q.bmp,None,None,1.0,,L_h.bmp,None,None,1.0,,L_w.bmp,None,None,1,
L_l.bmp,None,None,1.0,,L_k.bmp,None,None,1.0,,L_g.bmp,None,None,1.0,,L_n.bmp,None,None,1,
L_r.bmp,n,n,1.0,0.6653357000323012,L_b.bmp,None,None,1.0,,L_l.bmp,None,None,1.0,,L_f.bmp,None,None,1,
L_q.bmp,None,None,1.0,,L_j.bmp,None,None,1.0,,L_b.bmp,None,None,1.0,,L_t.bmp,None,n,0,
L_g.bmp,None,None,1.0,,L_k.bmp,None,None,1.0,,L_t.bmp,n,None,0.0,,L_f.bmp,n,None,0,0.5990706000011414
L_r.bmp,None,n,0.0,,L_b.bmp,None,None,1.0,,L_k.bmp,None,n,0.0,0.3159423000179231,L_d.bmp,None,None,1,
L_b.bmp,n,None,0.0,0.2121503000380471,L_r.bmp,None,None,1.0,,L_j.bmp,None,None,1.0,,L_w.bmp,None,None,1,
L_j.bmp,None,None,1.0,,L_q.bmp,None,None,1.0,,L_f.bmp,None,None,1.0,,L_q.bmp,None,None,1,
L_g.bmp,None,None,1.0,,L_m.bmp,None,None,1.0,,L_g.bmp,None,None,1.0,,L_g.bmp,None,None,1,
L_s.bmp,n,n,1.0,0.5245479999575764,L_q.bmp,None,None,1.0,,L_h.bmp,None,None,1.0,,L_p.bmp,None,None,1,
L_v.bmp,None,None,1.0,,L_f.bmp,None,None,1.0,,L_b.bmp,None,None,1.0,,L_j.bmp,None,None,1,
L_m.bmp,None,None,1.0,,L_j.bmp,None,None,1.0,,L_v.bmp,None,None,1.0,,L_w.bmp,None,None,1,
L_b.bmp,None,None,1.0,,L_m.bmp,None,None,1.0,,L_b.bmp,None,None,1.0,,L_h.bmp,None,None,1,
L_s.bmp,n,n,1.0,0.614577200030908,L_b.bmp,None,None,1.0,,L_r.bmp,n,n,1.0,0.6495514999842271,L_k.bmp,None,None,1,
L_b.bmp,None,None,1.0,,L_j.bmp,None,None,1.0,,L_b.bmp,None,None,1.0,,L_f.bmp,None,None,1,
L_d.bmp,None,None,1.0,,L_m.bmp,None,None,1.0,,L_n.bmp,None,None,1.0,,L_s.bmp,n,n,1,0.6914104000898078
L_v.bmp,None,None,1.0,,L_n.bmp,None,None,1.0,,L_l.bmp,None,None,1.0,,L_k.bmp,None,None,1,
L_b.bmp,None,None,1.0,,L_f.bmp,None,None,1.0,,L_j.bmp,None,None,1.0,,L_p.bmp,None,None,1,
L_n.bmp,None,None,1.0,,L_m.bmp,None,None,1.0,,L_h.bmp,None,None,1.0,,L_t.bmp,None,n,0,
L_c.bmp,None,None,1.0,,L_p.bmp,None,None,1.0,,L_t.bmp,n,n,1.0,0.6308237999910489,L_f.bmp,None,None,1,
L_p.bmp,None,None,1.0,,L_l.bmp,None,None,1.0,,L_q.bmp,None,None,1.0,,L_q.bmp,None,None,1,
L_f.bmp,None,None,1.0,,L_h.bmp,None,None,1.0,,L_b.bmp,None,None,1.0,,L_n.bmp,None,None,1,
L_p.bmp,None,None,1.0,,L_s.bmp,n,n,1.0,0.6010389999719337,L_g.bmp,None,None,1.0,,L_s.bmp,n,n,1,0.7008729999652132
L_r.bmp,n,n,1.0,0.6399494999786839,L_v.bmp,None,None,1.0,,L_t.bmp,n,None,0.0,,L_b.bmp,None,None,1,
L_q.bmp,None,None,1.0,,L_h.bmp,None,None,1.0,,L_g.bmp,None,None,1.0,,L_k.bmp,None,None,1,
L_f.bmp,None,None,1.0,,L_k.bmp,None,None,1.0,,L_k.bmp,None,None,1.0,,L_g.bmp,None,None,1,
L_s.bmp,n,n,1.0,0.59994459990412,L_r.bmp,None,n,0.0,,L_f.bmp,None,None,1.0,,L_m.bmp,None,None,1,
L_m.bmp,None,None,1.0,,L_q.bmp,n,None,0.0,0.2149077999638393,L_l.bmp,None,None,1.0,,L_j.bmp,None,None,1,
